"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice"
55,2025-04-25 15:51:33,2025-04-25 15:54:32,"computer science","iya","binus@semarang",">4 kali","sangat tidak setuju","tidak setuju","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","sangat tidak setuju","lebih ramah","sangat tidak setuju","tidak setuju","tidak merasakan","tidak setuju","sangat tidak setuju","tidak setuju","tidak merasakan","rutin membuang sampah makanan sisa","-","sangat tidak setuju","tidak setuju","tidak merasakan","setuju","setuju","tidak merasakan","murahin dong"
56,2025-04-25 15:58:37,2025-04-25 16:03:09,"computer science","iya","binus@malang","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","persediaan makannya tetap di diperhatikan, karena sering ingin beli nasinya habis","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","tidak ada","setuju","setuju","sangat setuju","setuju","tidak merasakan","setuju","tidak ada"
57,2025-04-25 17:12:43,2025-04-25 17:15:38,"computer science - software engineering","iya","binus@semarang","3-4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","mejanya di lap ☝🊡","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada"
58,2025-04-25 17:03:12,2025-04-25 17:18:16,"computer science","iya","binus@bandung","3-4 kali","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","masih ada lalat dan nyamuk mungkin bisa siapkan kipas untuk mengusir atau bunuh serangga tersebut","tidak ada","setuju","sangat setuju","setuju","setuju","setuju","setuju","tidak ada"
59,2025-04-25 17:49:16,2025-04-25 17:50:36,"artificial intelligence","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","belom","setuju","setuju","setuju","setuju","setuju","setuju","setuju","blm","game","setuju","setuju","setuju","setuju","setuju","setuju","tidak"
60,2025-04-25 21:44:55,2025-04-25 21:48:11,"computer science","iya","binus@malang","1-2 kali","setuju","tidak merasakan","sangat setuju","setuju","sangat setuju","sangat setuju","tidak merasakan","antrian lebih diatur","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","wastafel dibanyakin","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","sudah baik"
61,2025-04-26 04:07:58,2025-04-26 04:10:06,"computer science","iya","binus@bandung","1-2 kali","setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","tidak setuju","tidak merasakan","tidak merasakan","setuju","setuju","tidak ada","tidak ada","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","tidak ada"
62,2025-04-26 14:02:35,2025-04-26 14:05:38,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","tidak setuju","sangat setuju","tidak setuju","sangat setuju","tidak","setuju","setuju","setuju","setuju","setuju","setuju","setuju","sudah bagus","toilet","setuju","setuju","setuju","setuju","setuju","tidak setuju","sudah bgus cm tidak worth it aja buat harga sgitu"
63,2025-04-26 14:09:59,2025-04-26 14:11:55,"cyber security","iya","binus@bandung","3-4 kali","setuju","tidak merasakan","setuju","setuju","sangat setuju","setuju","setuju","kursi perlu di perbanyak","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","sudah cukup bersih","kursinya tambah","sangat setuju","tidak setuju","sangat setuju","sangat setuju","setuju","setuju","-"
64,2025-04-26 14:10:49,2025-04-26 14:11:55,"computer science","iya","binus@bandung",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
65,2025-04-26 14:09:14,2025-04-26 14:12:06,"computer science","iya","binus@bandung","3-4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","ac nya kurang dingin","tidak setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","tidak ada","ac ny kurang terasa","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
66,2025-04-26 14:11:17,2025-04-26 14:12:34,"computer science","iya","binus@bandung","1-2 kali","tidak merasakan","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","tidak ada","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","sangat setuju","tidak ada","tidak ada","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","tidak ada"
67,2025-04-26 14:09:50,2025-04-26 14:16:00,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","tidak setuju","setuju","setuju","setuju","setuju","tidak ada","terkadang tenant tertentu memiliki antrian yang panjang, sehingga antrian menutupi jalan. mungkin bisa diperbaiki sistem antri atau tata meja nya agar lebih efektif","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
68,2025-04-26 14:12:05,2025-04-26 14:16:48,"data science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
69,2025-04-26 14:14:34,2025-04-26 14:17:35,"cyber security","iya","binus@bandung","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
70,2025-04-26 14:19:07,2025-04-26 14:23:00,"computer science","iya","binus@bandung",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tambahkan perfomance dj","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","membeli robot ai pengambil dan pemungut sampah","mengeluarkan modal yang sesuai dengan biaya kuliah","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat tidak setuju","sangat setuju","menambah menu nasi babi"
71,2025-04-26 14:22:01,2025-04-26 14:24:17,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
72,2025-04-26 14:27:16,2025-04-26 14:29:30,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
73,2025-04-26 14:35:56,2025-04-26 14:36:27,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
74,2025-04-26 14:31:44,2025-04-26 14:37:21,"computer science","iya","binus@bandung","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","tidak ada","setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","bukan hanya mengambil piring kotor, tetapi juga mengelap meja yang telah dipakai oleh orang lain, agar orang yang ingin duduk merasa nyaman.","tidak ada","setuju","sangat setuju","sangat setuju","setuju","tidak merasakan","setuju","tidak ada"
75,2025-04-26 14:46:53,2025-04-26 14:48:49,"computer science","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","belum ada semua sudah bagus","setuju","setuju","setuju","setuju","setuju","setuju","setuju","di bagian payung"" nya yang keliatan sedikit kotor","belum ada","setuju","setuju","sangat setuju","setuju","setuju","setuju","belum ada"
76,2025-04-26 14:44:30,2025-04-26 14:51:10,"computer science","iya","binus@semarang","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","tidak merasakan","tidak merasakan","tidak merasakan","setuju","setuju","setuju","untuk setiap kantin baiknya menyediakan wastafel atau jika sulit menambah wastafel setidaknya di sediakan tisu basah/kering,sediakan juga tempat sampah","tidak ada","tidak merasakan","setuju","tidak merasakan","tidak merasakan","setuju","tidak merasakan","tidak ada"
77,2025-04-26 14:51:25,2025-04-26 14:53:22,"computer science - software engineering","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
78,2025-04-26 14:51:25,2025-04-26 14:53:22,"computer science - software engineering","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
79,2025-04-26 14:51:16,2025-04-26 14:54:45,"game application and technology","iya","binus@malang",">4 kali","tidak merasakan","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada","tidak ada","sangat setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","tidak ada"
80,2025-04-26 14:53:09,2025-04-26 14:55:49,"computer science","iya","binus@malang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","lebih tertata dan lebih jelas dalam tata kelola kantin","setuju","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
81,2025-04-26 15:02:48,2025-04-26 15:06:34,"computer science - software engineering","iya","binus@semarang","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","sopan dalam melayani","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","di sapu dan di pel","belanja barang barang interior","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","mantap"
82,2025-04-26 15:02:30,2025-04-26 15:09:13,"computer science","iya","binus@semarang","0 kali","setuju","setuju","setuju","setuju","sangat setuju","sangat setuju","tidak merasakan","tidak ada","setuju","setuju","tidak setuju","setuju","tidak merasakan","sangat setuju","sangat setuju","tidak ada","mungkin bisa memberikan kotak tisu dan isinya di setiap meja","sangat setuju","sangat setuju","setuju","setuju","tidak setuju","tidak setuju","tidak ada"
83,2025-04-26 15:06:38,2025-04-26 15:09:48,"computer science","iya","binus@malang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","lebih ekspresif","setuju","setuju","setuju","setuju","setuju","setuju","setuju","harap mahasiswa lebih baik dalam membersihkan sisa makanannya","sudah mantap","setuju","setuju","setuju","setuju","setuju","setuju","sudah mantal poll"
84,2025-04-26 15:10:25,2025-04-26 15:12:14,"information systems","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","sangat setuju","setuju","sangat setuju","tidak ada","sangat setuju","setuju","setuju","setuju","sangat setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
85,2025-04-26 15:09:52,2025-04-26 15:17:29,"computer science","iya","binus@malang","1-2 kali","tidak merasakan","tidak merasakan","sangat setuju","setuju","setuju","setuju","setuju","dimurahkan harganya","setuju","setuju","setuju","setuju","tidak setuju","setuju","tidak setuju","yang bekerja harus membersihkan lebih sering","diperbarui fasilitasnya","setuju","setuju","setuju","setuju","sangat tidak setuju","tidak setuju","dimurahkan harganya"
86,2025-04-26 15:32:58,2025-04-26 15:33:59,"computer science","iya","binus@semarang","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-","-","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-"
87,2025-04-26 15:31:55,2025-04-26 15:34:51,"computer science","iya","binus@semarang","0 kali","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","tidak merasakan","tidak merasakan","tidak setuju","tidak merasakan","tidak setuju","setuju","setuju","tidak ada","tidak ada","setuju","tidak merasakan","setuju","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada"
