"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice"
98,2025-04-26 18:12:09,2025-04-26 18:15:05,"computer science","iya","binus@semarang","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
99,2025-04-26 18:20:11,2025-04-26 18:23:50,"interior design","iya","binus@bandung",">4 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
100,2025-04-26 18:23:22,2025-04-26 18:26:10,"computer engineering","iya","binus@bandung","1-2 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","tidak setuju","tidak setuju","setuju","murahin"
101,2025-04-26 18:38:31,2025-04-26 18:41:03,"cyber security","iya","binus@bandung","3-4 kali","tidak merasakan","setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","tidak setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada","tidak ada","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","tambahkan porsinya"
102,2025-04-26 19:04:27,2025-04-26 19:07:37,"computer science","iya","binus@semarang","3-4 kali","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","setuju","setuju","setuju","setuju","tidak merasakan","setuju","setuju","tidak ada","tidak ada","setuju","setuju","sangat setuju","sangat setuju","setuju","setuju","tidak ada"
103,2025-04-26 19:26:49,2025-04-26 19:28:00,"computer science","iya","binus@bandung","1-2 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-","-","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","-"
104,2025-04-26 19:35:33,2025-04-26 19:37:29,"computer science","iya","binus@bandung","1-2 kali","setuju","setuju","setuju","setuju","setuju","setuju","setuju","aman semuanya","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada semuanya sudah bagus","semuanya aman kok","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
105,2025-04-26 19:38:25,2025-04-26 19:41:38,"computer science","iya","binus@bandung",">4 kali","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","kalo bisa harga ditampilkan dengan lebih besar","setuju","setuju","setuju","setuju","setuju","setuju","setuju","sering sering saja di bersihkan","sebisa mungkin pisahkan dapur masak dan tempat makan","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
106,2025-04-26 19:56:00,2025-04-26 19:59:53,"public relations","iya","binus@malang",">4 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","untuk harga menu harusnya ditampilin semua jadi ntar kesannya biar gk trap gitu","sangat setuju","setuju","tidak merasakan","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sejauh ini fine fine aja klo untuk kebersihan","munngkin untuk tata ruang antri bisa di optimalkan","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak merasakan","tidak merasakan","kualitas sih oke yaaa"
107,2025-04-26 19:59:10,2025-04-26 20:01:28,"computer science","iya","binus@bandung","3-4 kali","setuju","setuju","setuju","setuju","setuju","setuju","tidak merasakan","ada kios yang tidak memasang informasi harga, sebaiknya dipasang supaya memudahkan","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","setuju","setuju","setuju","setuju","tidak merasakan","setuju","lebih banyak makanan yang harganya lebih terjangkau lagi"
108,2025-04-26 21:32:06,2025-04-26 21:35:40,"computer science","iya","binus@semarang","3-4 kali","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada","sangat setuju","setuju","setuju","sangat setuju","tidak merasakan","setuju","setuju","tidak ada","tidak ada","tidak setuju","tidak setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada"
109,2025-04-26 23:55:45,2025-04-26 23:59:47,"information systems","iya","binus@semarang",">4 kali","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","sangat setuju","tidak ada","setuju","setuju","tidak merasakan","setuju","tidak setuju","setuju","setuju","mungkin bisa dengan ada petugas yang stand by untuk langsung membersihkan meja, karena kalo ga mahasiswa sendiri yang harus membersihkan dan biasanya meja itu kotor dengan bekas tumpahan makanan bukan hanya box makanannya saja","bisa dengan menambahkan tisu dan juga wastafel dekat area kantin payung","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada"
110,2025-04-27 17:27:02,2025-04-27 17:29:33,"computer science","iya","binus@malang","1-2 kali","setuju","setuju","setuju","tidak setuju","setuju","setuju","setuju","sudah cukup baik","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","setuju","cukup baik","cukup baik","setuju","setuju","setuju","setuju","setuju","setuju","cukup baik"
111,2025-04-28 15:57:42,2025-04-28 15:59:56,"computer science","iya","binus@semarang","0 kali","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada","setuju","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada","tidak ada","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak merasakan","tidak ada"
112,2025-04-28 18:47:12,2025-04-28 18:50:17,"computer science","iya","binus@bandung","3-4 kali","setuju","setuju","sangat setuju","setuju","sangat setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tdk ada","tdk ada","setuju","setuju","setuju","setuju","setuju","setuju","tdk ada"
113,2025-04-29 13:44:49,2025-04-29 13:46:52,"computer science","iya","binus@semarang","0 kali","setuju","sangat setuju","setuju","setuju","sangat setuju","sangat setuju","sangat setuju","-","tidak merasakan","setuju","setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","tidak setuju","setuju","-"
114,2025-04-29 14:25:56,2025-04-29 14:30:59,"computer science","iya","binus@bandung","1-2 kali","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","sangat setuju","sangat setuju","tidak ada","setuju","sangat setuju","setuju","setuju","setuju","setuju","sangat setuju","tidak ada","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","setuju","setuju","tidak ada"
115,2025-04-29 23:52:15,2025-04-29 23:56:17,"computer science","iya","binus@bandung","1-2 kali","tidak merasakan","tidak merasakan","setuju","setuju","setuju","setuju","setuju","tidak ada","setuju","setuju","setuju","setuju","setuju","setuju","setuju","tidak ada","tidak ada","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","sangat setuju","tidak ada"
116,2025-05-05 12:25:19,2025-05-05 12:28:04,"computer science","iya","binus@bandung",">4 kali","setuju","setuju","setuju","sangat setuju","setuju","setuju","setuju","-","setuju","sangat setuju","sangat setuju","setuju","setuju","setuju","setuju","-","-","setuju","setuju","setuju","setuju","setuju","setuju","-"
