"ID","start_time","completion_time","major","active_mobility","home_campus","frequency_visiting_canteen","staff_response","friendly_staff","quick_response_staff","order_waiting_time","payment_method","smooth_payment","clear_menu_info","advice_for_services","clean_area","cozy_room_layout","neat_furniture_placement","clean_utensils","cleaning_facility","proper_table_chair","cozy_seating_area","cleanliness_advice","facility_advice","menu_variety","healty_menu","freshness_menu","taste_match_price","affordable_price","price_vs_quality","product_advice","date","duration","mean_satisfaction_score","mean_services_score","mean_cleanliness_score","mean_product_score"
58,"17:03:12","17:18:16","computer science","iya","binus@bandung","3-4 kali",4,5,4,5,4,5,5,"tidak ada",4,4,4,4,5,4,5,"masih ada lalat dan nyamuk mungkin bisa siapkan kipas untuk mengusir atau bunuh serangga tersebut","tidak ada",4,5,4,4,4,4,"tidak ada",2025-04-25,15.07,4.35,4.57,4.29,4.17
59,"17:49:16","17:50:36","artificial intelligence","iya","binus@semarang","1-2 kali",4,4,4,4,4,4,4,"belom",4,4,4,4,4,4,4,"blm","game",4,4,4,4,4,4,"tidak",2025-04-25,1.33,4,4,4,4
60,"21:44:55","21:48:11","computer science","iya","binus@malang","1-2 kali",4,3,5,4,5,5,3,"antrian lebih diatur",4,4,3,4,2,4,4,"wastafel dibanyakin","tidak ada",4,4,4,4,4,4,"sudah baik",2025-04-25,3.27,3.9,4.14,3.57,4
61,"04:07:58","04:10:06","computer science","iya","binus@bandung","1-2 kali",4,5,4,5,5,5,5,"tidak ada",4,4,2,3,3,4,4,"tidak ada","tidak ada",4,5,4,5,4,4,"tidak ada",2025-04-26,2.13,4.15,4.71,3.43,4.33
62,"14:02:35","14:05:38","computer science","iya","binus@bandung","1-2 kali",4,4,4,2,5,2,5,"tidak",4,4,4,4,4,4,4,"sudah bagus","toilet",4,4,4,4,4,2,"sudah bgus cm tidak worth it aja buat harga sgitu",2025-04-26,3.05,3.8,3.71,4,3.67
63,"14:09:59","14:11:55","cyber security","iya","binus@bandung","3-4 kali",4,3,4,4,5,4,4,"kursi perlu di perbanyak",4,4,4,5,4,4,4,"sudah cukup bersih","kursinya tambah",5,2,5,5,4,4,"-",2025-04-26,1.93,4.1,4,4.14,4.17
64,"14:10:49","14:11:55","computer science","iya","binus@bandung",">4 kali",4,4,4,4,4,4,4,"-",4,4,4,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-04-26,1.1,4,4,4,4
65,"14:09:14","14:12:06","computer science","iya","binus@bandung","3-4 kali",3,4,4,4,4,4,4,"ac nya kurang dingin",2,4,2,4,4,4,4,"tidak ada","ac ny kurang terasa",4,4,4,4,4,4,"tidak ada",2025-04-26,2.87,3.75,3.86,3.43,4
66,"14:11:17","14:12:34","computer science","iya","binus@bandung","1-2 kali",3,4,4,5,4,5,4,"tidak ada",5,4,5,4,5,4,5,"tidak ada","tidak ada",4,5,4,4,5,5,"tidak ada",2025-04-26,1.28,4.4,4.14,4.57,4.5
67,"14:09:50","14:16:00","computer science","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"tidak ada",4,4,2,4,4,4,4,"tidak ada","terkadang tenant tertentu memiliki antrian yang panjang, sehingga antrian menutupi jalan. mungkin bisa diperbaiki sistem antri atau tata meja nya agar lebih efektif",4,4,4,4,4,4,"tidak ada",2025-04-26,6.17,3.9,4,3.71,4
68,"14:12:05","14:16:48","data science","iya","binus@bandung","1-2 kali",4,4,4,4,4,4,4,"-",4,4,4,4,4,4,4,"-","-",4,4,4,4,4,4,"-",2025-04-26,4.72,4,4,4,4
